playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
cedence01,1970,1,HOU,NL,90,355,46,110,21,4,7,42,17,4,15,57,2,2,3,2,8
cedence01,1971,1,HOU,NL,161,611,85,161,40,6,10,81,20,9,25,102,5,3,3,7,9
cedence01,1972,1,HOU,NL,139,559,103,179,39,8,22,82,55,21,56,62,5,5,1,4,11
cedence01,1973,1,HOU,NL,139,525,86,168,35,2,25,70,56,15,41,79,7,7,1,2,19
cedence01,1974,1,HOU,NL,160,610,95,164,29,5,26,102,57,17,64,103,6,4,2,8,9
wockejo01,1974,1,DET,AL,13,29,1,4,1,0,0,2,0,0,3,2,0,0,0,1,0
cedence01,1975,1,HOU,NL,131,500,93,144,31,3,13,63,50,17,62,52,9,7,2,5,12
eckerde01,1975,1,CLE,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wockejo01,1975,1,DET,AL,35,118,15,27,6,3,4,13,0,0,10,15,0,0,1,1,5
cedence01,1976,1,HOU,NL,150,575,89,171,26,5,18,83,58,15,55,51,9,1,0,4,16
eckerde01,1976,1,CLE,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wockejo01,1976,1,DET,AL,60,144,18,32,7,2,3,10,0,3,17,14,0,1,1,0,3
cedence01,1977,1,HOU,NL,141,530,92,148,36,8,14,71,61,14,47,50,7,11,2,8,10
eckerde01,1977,1,CLE,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wockejo01,1977,1,DET,AL,53,164,26,45,8,1,9,25,0,0,14,18,0,0,0,0,1
cedence01,1978,1,HOU,NL,50,192,31,54,8,2,7,23,23,2,15,24,1,0,2,0,4
eckerde01,1978,1,BOS,AL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1978,1,CLE,AL,25,74,5,15,0,0,2,9,2,0,5,7,0,1,1,2,1
wockejo01,1978,1,DET,AL,71,187,23,53,5,0,7,22,0,1,21,14,4,1,1,1,7
cedence01,1979,1,HOU,NL,132,470,57,123,27,4,6,54,30,13,64,52,8,3,3,9,15
eckerde01,1979,1,BOS,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1979,1,CLE,AL,75,223,20,64,14,0,4,32,1,0,19,19,2,0,4,3,8
wockejo01,1979,1,DET,AL,87,231,27,61,9,1,15,46,2,2,18,40,0,2,1,2,9
brookhu01,1980,1,NYN,NL,24,81,8,25,2,1,1,10,1,1,5,9,0,2,1,0,1
cedence01,1980,1,HOU,NL,137,499,71,154,32,8,10,73,48,15,66,72,11,1,1,2,13
eckerde01,1980,1,BOS,AL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1980,1,CLE,AL,130,390,43,124,18,4,8,65,0,2,49,51,3,1,1,6,13
wockejo01,1980,1,DET,AL,126,372,56,102,13,2,16,65,1,4,68,64,4,3,0,1,7
brookhu01,1981,1,NYN,NL,98,358,34,110,21,2,4,38,9,5,23,65,2,1,1,6,9
cedence01,1981,1,HOU,NL,82,306,42,83,19,0,5,34,12,7,24,31,2,1,2,5,6
eckerde01,1981,1,BOS,AL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1981,1,CLE,AL,61,190,8,44,4,0,1,25,0,1,17,11,0,2,3,3,5
wockejo01,1981,1,DET,AL,70,172,20,37,4,0,9,25,0,0,28,22,1,0,0,2,5
brookhu01,1982,1,NYN,NL,126,457,40,114,21,2,2,40,6,3,28,76,5,5,3,5,11
cedence01,1982,1,CIN,NL,138,492,52,142,35,1,8,57,16,11,41,41,2,4,2,4,15
eckerde01,1982,1,BOS,AL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1982,1,CLE,AL,113,323,33,81,18,0,5,34,3,2,53,32,5,1,3,2,10
wockejo01,1982,1,DET,AL,70,193,28,58,9,0,8,32,0,0,29,21,2,0,0,2,3
brookhu01,1983,1,NYN,NL,150,586,53,147,18,4,5,58,6,4,24,96,2,4,7,3,14
cedence01,1983,1,CIN,NL,98,332,40,77,16,0,9,39,13,9,33,53,2,3,1,6,2
eckerde01,1983,1,BOS,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hassero01,1983,1,CLE,AL,117,341,48,92,21,0,6,42,2,2,38,35,2,2,2,5,11
